word,graphemes
থাকারই,"['থা', 'কা', 'র', 'ই']"
কর্মচারি,"['ক', 'র্ম', 'চা', 'রি']"
দুর্ধর্ষ,"['দু', 'র্ধ', 'র্ষ']"
এলাকাটা,"['এ', 'লা', 'কা', 'টা']"
নিস্তব্ধতার,"['নি', 'স্ত', 'ব্ধ', 'তা', 'র']"
শেখই,"['শে', 'খ', 'ই']"
আওয়াজ,"['আ', 'ও', 'য়া', 'জ']"
সারাইয়ের,"['সা', 'রা', 'ই', 'য়ে', 'র']"
ওরফে,"['ও', 'র', 'ফে']"
পার্টস,"['পা', 'র্ট', 'স']"
দু'মুঠো,"['দু', ""'"", 'মু', 'ঠো']"
শেখকে,"['শে', 'খ', 'কে']"
গ্যারেজের,"['গ্যা', 'রে', 'জে', 'র']"
চমকে,"['চ', 'ম', 'কে']"
পোড়া,"['পো', 'ড়া']"
পাঁচটা,"['পাঁ', 'চ', 'টা']"
চিরে,"['চি', 'রে']"
প্রাণভয়,"['প্রা', 'ণ', 'ভ', 'য়']"
ফেরাউন,"['ফে', 'রা', 'উ', 'ন']"
নিকটবর্তী,"['নি', 'ক', 'ট', 'ব', 'র্তী']"
জলদস্যুতার,"['জ', 'ল', 'দ', 'স্যু', 'তা', 'র']"
কাসেন,"['কা', 'সে', 'ন']"
নাভিশ্বাস,"['না', 'ভি', 'শ্বা', 'স']"
উপদ্রবে,"['উ', 'প', 'দ্র', 'বে']"
টাস্কফোর্স,"['টা', 'স্ক', 'ফো', 'র্স']"
টাস্কফোর্সে,"['টা', 'স্ক', 'ফো', 'র্সে']"
টাস্কফোর্সের,"['টা', 'স্ক', 'ফো', 'র্সে', 'র']"
১৯৮০'র,"['১', '৯', '৮', '০', ""'"", 'র']"
চক্রটি,"['চ', 'ক্র', 'টি']"
নিবন্ধে,"['নি', 'ব', 'ন্ধে']"
কাসেম,"['কা', 'সে', 'ম']"
এলেও,"['এ', 'লে', 'ও']"
টাস্কফোর্সকে,"['টা', 'স্ক', 'ফো', 'র্স', 'কে']"
বেল্লাল,"['বে', 'ল্লা', 'ল']"
সহায়তায়,"['স', 'হা', 'য়', 'তা', 'য়']"
পাথরঘাটা,"['পা', 'থ', 'র', 'ঘা', 'টা']"
অরণ্যই,"['অ', 'র', 'ণ্য', 'ই']"
ফরে,"['ফ', 'রে']"
আরণ্যে,"['আ', 'র', 'ণ্যে']"
শেখের,"['শে', 'খে', 'র']"
শিকারি,"['শি', 'কা', 'রি']"
মৌয়াল,"['মৌ', 'য়া', 'ল']"
চুরি,"['চু', 'রি']"
ত্রাসের,"['ত্রা', 'সে', 'র']"
ক্ষমার,"['ক্ষ', 'মা', 'র']"
পূবে,"['পূ', 'বে']"
যাননি,"['যা', 'ন', 'নি']"
অস্ত্রসহ,"['অ', 'স্ত্র', 'স', 'হ']"
মিষ্টি,"['মি', 'ষ্টি']"
শ্যালা,"['শ্যা', 'লা']"
স্বভাবের,"['স্ব', 'ভা', 'বে', 'র']"
শাড়ি,"['শা', 'ড়ি']"
সামনাসামনি,"['সা', 'ম', 'না', 'সা', 'ম', 'নি']"
নন্দবালা,"['ন', 'ন্দ', 'বা', 'লা']"
রহিমা,"['র', 'হি', 'মা']"
পৌরে,"['পৌ', 'রে']"
উনিশশো,"['উ', 'নি', 'শ', 'শো']"
শান্তু,"['শা', 'ন্তু']"
২৪,"['২', '৪']"
খোকা,"['খো', 'কা']"
চিলা,"['চি', 'লা']"
মংলার,"['ম', 'ং', 'লা', 'র']"
ভয়ঙ্কর,"['ভ', 'য়', 'ঙ্ক', 'র']"
প্রাইভেসির,"['প্রা', 'ই', 'ভে', 'সি', 'র']"
চরপুটিয়া,"['চ', 'র', 'পু', 'টি', 'য়া']"
ডাকাত,"['ডা', 'কা', 'ত']"
৯০,"['৯', '০']"
উপকূলীয়,"['উ', 'প', 'কূ', 'লী', 'য়']"
উপদল,"['উ', 'প', 'দ', 'ল']"
বাবু,"['বা', 'বু']"
কবিরাজ,"['ক', 'বি', 'রা', 'জ']"
আশির,"['আ', 'শি', 'র']"
বহিস্কৃত,"['ব', 'হি', 'স্কৃ', 'ত']"
৪.,"['৪', '.']"
বিচরণ,"['বি', 'চ', 'র', 'ণ']"
বিশ্বাসঘাতকতা,"['বি', 'শ্বা', 'স', 'ঘা', 'ত', 'ক', 'তা']"
গেজ,"['গে', 'জ']"
পুর্বাঞ্চল,"['পু', 'র্বা', 'ঞ্চ', 'ল']"
শটগান,"['শ', 'ট', 'গা', 'ন']"
তৎপর,"['ত', 'ৎ', 'প', 'র']"
ব্যারেল,"['ব্যা', 'রে', 'ল']"
বাবুর্চি,"['বা', 'বু', 'র্চি']"
পিস্তল,"['পি', 'স্ত', 'ল']"
বিশেষত্ব,"['বি', 'শে', 'ষ', 'ত্ব']"
চাঁদপাই,"['চাঁ', 'দ', 'পা', 'ই']"
শিকারিকে,"['শি', 'কা', 'রি', 'কে']"
মিয়ার,"['মি', 'য়া', 'র']"
চালাতো,"['চা', 'লা', 'তো']"
